Date;Revenue_B;
2023-12-31;574.78;
2022-12-31;513.98;
2021-12-31;469.82;
2020-12-31;386.06;
2019-12-31;280.52;
2018-12-31;232.89;
2017-12-31;177.87;
2016-12-31;135.99;
2015-12-31;107.01;
2014-12-31;88.99;
2013-12-31;74.45;
2012-12-31;61.09;
2011-12-31;48.08;
2010-12-31;34.20;
2009-12-31;24.51;
2008-12-31;19.17;
2007-12-31;14.84;
2006-12-31;10.71;
2005-12-31;8.49;
2004-12-31;6.921;
2003-12-31;5.264;
2002-12-31;3.933;
2001-12-31;3.122;
2000-12-31;2.762;
1999-12-31;1.640;
1998-12-31;0.60982;
1997-12-31;0.14779;
1996-12-31;0.01575;
;;
